epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,18738,1.05133,0.46381,1.06329,0.85698,0.78852,0.83771,0.45625,1.37754,0.68341,1.08909,0.004555,0.004555,0.004555
68,19047.5,1.04883,0.46498,1.06313,0.85704,0.7883,0.83905,0.45716,1.37738,0.68359,1.08867,0.0044725,0.0044725,0.0044725
69,19349.9,1.04827,0.46328,1.06308,0.85837,0.78767,0.83924,0.45749,1.37682,0.68264,1.08861,0.00439,0.00439,0.00439
70,19645.2,1.05018,0.46134,1.06376,0.85528,0.78512,0.83721,0.45755,1.37732,0.68302,1.08871,0.0043075,0.0043075,0.0043075
71,19939.9,1.04663,0.46235,1.05948,0.85459,0.78449,0.83674,0.45766,1.37629,0.68212,1.08842,0.004225,0.004225,0.004225
72,20232.9,1.03635,0.45526,1.05886,0.85609,0.78449,0.83706,0.45766,1.37698,0.68311,1.08872,0.0041425,0.0041425,0.0041425
73,20493.3,1.0414,0.45721,1.05716,0.85951,0.7864,0.84022,0.45789,1.37608,0.68112,1.08795,0.00406,0.00406,0.00406
74,20748,1.03733,0.45276,1.05702,0.8594,0.7864,0.8404,0.45943,1.37587,0.68027,1.08761,0.0039775,0.0039775,0.0039775
75,21009.2,1.03756,0.45055,1.05749,0.85921,0.79144,0.84244,0.45993,1.3758,0.67934,1.08728,0.003895,0.003895,0.003895
76,21301.5,1.03632,0.45167,1.05655,0.85597,0.79148,0.84229,0.4602,1.3755,0.67933,1.08725,0.0038125,0.0038125,0.0038125
77,21569.3,1.03618,0.45191,1.0566,0.85806,0.79166,0.84237,0.46084,1.37483,0.67833,1.0872,0.00373,0.00373,0.00373
78,21835.9,1.02643,0.44422,1.05477,0.85902,0.79212,0.843,0.46135,1.37415,0.67764,1.08659,0.0036475,0.0036475,0.0036475
79,22099.7,1.03225,0.44815,1.0564,0.85981,0.79339,0.84306,0.4625,1.37374,0.67763,1.08612,0.003565,0.003565,0.003565
80,22367.7,1.02701,0.44705,1.05244,0.85553,0.79593,0.84433,0.46322,1.37381,0.67752,1.086,0.0034825,0.0034825,0.0034825
81,22630,1.02622,0.44921,1.05215,0.85497,0.7972,0.84342,0.46314,1.37411,0.67593,1.08621,0.0034,0.0034,0.0034
82,22903.8,1.02918,0.44545,1.05287,0.85847,0.79593,0.84432,0.46311,1.37409,0.67473,1.08613,0.0033175,0.0033175,0.0033175
83,23203.6,1.02072,0.4416,1.04846,0.85764,0.7953,0.84402,0.46413,1.37336,0.67418,1.08544,0.003235,0.003235,0.003235
84,23499.3,1.02002,0.44365,1.04843,0.85915,0.79657,0.84467,0.46458,1.37319,0.67366,1.08477,0.0031525,0.0031525,0.0031525
85,23796.8,1.01499,0.43645,1.0434,0.85971,0.79473,0.84444,0.46493,1.37245,0.67318,1.08459,0.00307,0.00307,0.00307
86,24069.8,1.01127,0.43477,1.04492,0.85837,0.79758,0.84491,0.46481,1.37218,0.67256,1.08408,0.0029875,0.0029875,0.0029875
87,24322.1,1.01,0.43391,1.04475,0.85699,0.79784,0.84216,0.46482,1.37241,0.67216,1.08379,0.002905,0.002905,0.002905
88,24616.6,1.00677,0.43229,1.04305,0.85484,0.79657,0.84164,0.46538,1.37176,0.67072,1.08368,0.0028225,0.0028225,0.0028225
89,24900.8,1.00665,0.43224,1.04213,0.8531,0.79593,0.84172,0.46595,1.37168,0.66959,1.08342,0.00274,0.00274,0.00274
90,25157.8,1.0061,0.43317,1.04651,0.85256,0.7953,0.84059,0.46692,1.37213,0.66881,1.08361,0.0026575,0.0026575,0.0026575
91,25412.6,1.00236,0.43066,1.03997,0.85647,0.79593,0.84286,0.467,1.37201,0.66785,1.08343,0.002575,0.002575,0.002575
92,25666.2,1.00067,0.42723,1.04458,0.8563,0.7953,0.84134,0.46704,1.37244,0.66759,1.08356,0.0024925,0.0024925,0.0024925
93,25919.7,0.99723,0.42764,1.03932,0.85478,0.79466,0.84177,0.46689,1.37236,0.66711,1.08347,0.00241,0.00241,0.00241
94,26180,0.9945,0.42305,1.03822,0.8565,0.79302,0.84165,0.46727,1.37214,0.6669,1.0833,0.0023275,0.0023275,0.0023275
95,26434,0.99147,0.42167,1.03575,0.85763,0.79339,0.84216,0.46775,1.37226,0.66603,1.08367,0.002245,0.002245,0.002245
96,26688.6,0.99071,0.42198,1.03552,0.85488,0.79784,0.84346,0.46788,1.37235,0.66597,1.08372,0.0021625,0.0021625,0.0021625
97,26956.2,0.98796,0.41949,1.03457,0.85417,0.7972,0.84415,0.4682,1.37268,0.66469,1.08365,0.00208,0.00208,0.00208
98,27217.7,0.98118,0.41578,1.033,0.85375,0.79789,0.84345,0.4687,1.37263,0.66446,1.08296,0.0019975,0.0019975,0.0019975
99,27471.1,0.97716,0.41372,1.02969,0.85441,0.7984,0.84388,0.46939,1.37253,0.6636,1.08237,0.001915,0.001915,0.001915
100,27725.4,0.97864,0.41588,1.03183,0.8541,0.79847,0.84387,0.47031,1.372,0.66268,1.08198,0.0018325,0.0018325,0.0018325
101,27979.8,0.9752,0.41246,1.03156,0.85751,0.79784,0.84515,0.47084,1.37283,0.66295,1.08213,0.00175,0.00175,0.00175
